slice_file_name;fold;classID;mfcc_mean_1;mfcc_mean_2;mfcc_mean_3;mfcc_mean_4;mfcc_mean_5;mfcc_mean_6;mfcc_mean_7;mfcc_mean_8;mfcc_mean_9;mfcc_mean_10;mfcc_mean_11;mfcc_mean_12;mfcc_mean_13;mfcc_median_1;mfcc_median_2;mfcc_median_3;mfcc_median_4;mfcc_median_5;mfcc_median_6;mfcc_median_7;mfcc_median_8;mfcc_median_9;mfcc_median_10;mfcc_median_11;mfcc_median_12;mfcc_median_13;mfcc_std_1;mfcc_std_2;mfcc_std_3;mfcc_std_4;mfcc_std_5;mfcc_std_6;mfcc_std_7;mfcc_std_8;mfcc_std_9;mfcc_std_10;mfcc_std_11;mfcc_std_12;mfcc_std_13
100032-3-0-0.wav;5;3;-275.91843;119.4928;-98.21178;-66.51514;-42.60605;0.5050656;-28.330938;-5.746867;9.9927845;4.795411;15.461894;-0.069880106;-2.8426735;-280.86798;116.32008;-110.59668;-67.442635;-49.57335;3.2667036;-23.156403;-7.2657123;11.476807;4.7165003;14.733006;1.5556964;-4.654468;130.08777;14.965517;32.176838;7.711867;20.805027;9.134558;18.894438;6.1471395;6.089511;5.562755;8.565537;6.2072587;6.4754744
100263-2-0-117.wav;5;2;-500.9084;185.10641;-86.53282;49.85885;9.230822;22.548956;-3.5671747;12.220052;7.720082;-6.460391;16.995657;-6.625116;1.4697789;-501.41263;187.18057;-87.15725;51.26973;10.257717;21.99867;-3.142426;11.211348;7.477524;-6.8985744;15.48836;-6.3677053;1.4738997;22.01279;11.297285;15.110505;7.9058104;10.492388;8.088639;10.003834;8.190908;7.4281645;8.623438;8.925406;6.448639;8.688373
100263-2-0-121.wav;5;2;-531.1953;186.93994;-70.34916;40.429245;9.121047;18.398588;6.2832823;15.504061;9.613501;-7.11361;16.179823;-5.710522;-0.8992513;-530.0842;187.25107;-68.94809;40.22743;12.111916;18.60074;6.5285373;15.128862;8.880493;-7.7428102;15.8265;-5.2721043;-1.132708;12.762764;8.001002;11.377767;8.959305;12.224772;6.7296853;6.9648147;7.970478;8.061611;6.2190795;6.0531087;5.6616774;6.2334046
100263-2-0-126.wav;5;2;-476.78442;160.33328;-62.952843;50.75117;-0.17432971;32.7916;-17.4698;24.755478;-3.8477833;-1.761176;14.020372;-11.238716;6.290466;-483.07526;163.50427;-60.501358;49.736565;1.5123186;31.90421;-16.92528;24.813189;-3.288648;-3.107028;15.193138;-11.701979;6.311925;26.047169;17.871094;16.373886;9.584444;13.678769;9.252417;9.508886;8.359266;9.373244;9.253936;11.195956;9.520113;7.847927
100263-2-0-137.wav;5;2;-521.2447;185.39265;-81.95047;46.47355;11.872088;23.491444;4.261836;13.637701;6.093238;-2.8134532;18.077288;-7.2573457;-2.8493736;-521.195;186.14662;-81.82442;46.925064;11.877743;22.09768;4.260929;14.008991;6.136918;-2.9067993;17.903961;-7.751839;-2.5244465;12.964276;7.2818193;9.654214;7.1504083;6.918145;8.525443;7.432867;6.3579097;6.820632;5.5937357;6.1169624;5.8996935;5.925239
100263-2-0-143.wav;5;2;-516.3212;178.77928;-60.33852;47.640453;11.501935;20.880335;8.220909;13.267728;10.838386;-4.754242;14.395511;-5.77516;3.391187;-517.446;180.1576;-59.882874;47.321503;12.182257;21.325953;9.508688;12.2528;11.462139;-4.77028;14.432877;-5.5659437;2.7312908;13.149121;10.667007;10.462251;7.9700847;7.208816;9.001346;8.154801;8.824921;7.577844;7.069365;5.5532193;5.8034453;5.964594
100263-2-0-161.wav;5;2;-547.3493;182.02466;-59.242584;53.34855;6.8247614;23.768806;6.937395;10.895924;7.7600994;-4.0517797;13.999423;-4.7169795;1.6775333;-547.567;182.61066;-60.149406;51.96163;7.5374117;24.079058;7.8278003;10.774368;7.9378176;-4.004785;13.990903;-4.5553503;2.0630057;11.526527;8.586932;8.064854;9.243188;6.89784;7.0681243;7.276513;6.455421;5.813919;5.5750375;4.645063;5.52326;5.710654
100263-2-0-3.wav;5;2;-534.76227;179.51143;-60.048912;52.112957;-0.11334052;19.544;11.053799;15.343572;13.507726;-3.3896506;15.292861;-4.018923;2.720641;-536.2194;179.19644;-59.91545;53.110764;0.13102765;19.306732;10.021847;14.831113;13.885279;-3.2137454;15.354999;-4.1586027;2.552614;12.899701;6.953808;9.910196;7.9555826;6.0535674;5.7235074;7.235624;6.4979076;6.1970844;5.0502477;5.6883936;5.175842;5.4174314
100263-2-0-36.wav;5;2;-541.4183;186.04233;-59.519886;44.076088;16.00529;13.10625;14.272353;12.96127;11.345913;-0.34224698;13.776045;-4.391973;0.6533326;-543.11633;186.62961;-58.10459;43.9097;16.539124;13.82489;14.50094;12.306282;11.210662;-0.6338;13.97962;-4.7714305;0.28534806;13.987032;8.423414;12.541434;7.2739315;7.0147295;10.449237;7.1728854;6.3757467;6.0163465;6.3252764;6.319156;7.2707605;6.590491
100652-3-0-0.wav;2;3;-329.89523;140.8697;-68.729836;-31.979599;-3.717156;7.350813;-17.00413;-13.103753;0.43161842;-7.2604733;2.597887;7.9727836;11.888679;-344.2317;139.08743;-63.635857;-28.988937;-4.4643126;10.194105;-14.548265;-12.454006;0.6587981;-7.1387444;2.2379267;6.9571657;11.037603;75.53132;34.906223;32.43833;25.122677;14.408917;12.250727;13.941926;9.523079;8.105201;6.591088;9.892484;8.015225;9.618696
