slice_file_name;fsID;start;end;salience;fold;classID;class;path;duracion;tasa_muestreo;cantidad_canales;rango_dinamico;tasa_cruce_cero;entropia_espectograma
100032-3-0-0.wav;100032;0.0;0.317551;1;5;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold5/100032-3-0-0.wav;0.31755102040816324;44100;1;1.9668427;975;6.02351
100263-2-0-117.wav;100263;58.5;62.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-117.wav;4.0;44100;1;0.054855347;12708;9.161208
100263-2-0-121.wav;100263;60.5;64.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-121.wav;4.0;44100;1;0.031143188;9312;8.777844
100263-2-0-126.wav;100263;63.0;67.0;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-126.wav;4.0;44100;1;0.06539917;12891;8.79547
100263-2-0-137.wav;100263;68.5;72.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-137.wav;4.0;44100;1;0.029342651;10780;9.042981
100263-2-0-143.wav;100263;71.5;75.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-143.wav;4.0;44100;1;0.037994385;6766;7.953412
100263-2-0-161.wav;100263;80.5;84.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-161.wav;4.0;44100;1;0.025787354;6850;8.463985
100263-2-0-3.wav;100263;1.5;5.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-3.wav;4.0;44100;1;0.027770996;6741;8.33789
100263-2-0-36.wav;100263;18.0;22.0;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-36.wav;4.0;44100;1;0.03187561;6117;8.261092
100648-1-0-0.wav;100648;4.823402;5.471927;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-0-0.wav;0.6485260770975056;44100;1;0.36346436;1850;7.2199683
100648-1-1-0.wav;100648;8.998279;10.052132;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-1-0.wav;1.05;44100;1;0.301239;3399;8.065181
100648-1-2-0.wav;100648;16.699509;17.104837;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-2-0.wav;0.40532879818594103;44100;1;0.39993286;1834;5.667937
100648-1-3-0.wav;100648;17.631764;19.253075;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-3-0.wav;1.62;44100;1;0.2996521;6022;8.737135
100648-1-4-0.wav;100648;25.332994;27.197502;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-4-0.wav;1.86;44100;1;1.9999695;8812;4.998968
100652-3-0-0.wav;100652;0.0;4.0;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-0.wav;4.0;44100;1;1.5052643;13648;7.737485
100652-3-0-1.wav;100652;0.5;4.5;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-1.wav;4.0;44100;1;1.5052643;14020;7.499472
100652-3-0-2.wav;100652;1.0;5.0;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-2.wav;4.0;44100;1;1.4072113;14075;7.306579
100652-3-0-3.wav;100652;1.5;5.5;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-3.wav;4.0;44100;1;1.4362183;13543;7.141151
100795-3-0-0.wav;100795;0.19179;4.19179;1;10;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold10/100795-3-0-0.wav;4.0;44100;1;1.4289551;13424;6.393223
100795-3-1-0.wav;100795;13.059155;17.059155;1;10;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold10/100795-3-1-0.wav;4.0;44100;1;1.3532715;12472;7.0610943
100795-3-1-1.wav;100795;13.559155;17.559155;1;10;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold10/100795-3-1-1.wav;4.0;44100;1;1.3419342;12742;7.112987
100795-3-1-2.wav;100795;14.059155;18.059155;1;10;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold10/100795-3-1-2.wav;4.0;44100;1;1.3361511;12683;7.260502
100852-0-0-0.wav;100852;0.0;4.0;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-0.wav;4.0;44100;1;1.2501526;17714;10.427054
100852-0-0-1.wav;100852;0.5;4.5;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-1.wav;4.0;44100;1;0.95184326;17149;10.388097
100852-0-0-10.wav;100852;5.0;9.0;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-10.wav;4.0;44100;1;0.99568176;17414;10.337386
100852-0-0-11.wav;100852;5.5;9.5;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-11.wav;4.0;44100;1;1.3092651;17460;10.33195
100852-0-0-12.wav;100852;6.0;10.0;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-12.wav;4.0;44100;1;1.209259;17520;10.385532
100852-0-0-13.wav;100852;6.5;10.5;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-13.wav;4.0;44100;1;0.7922058;17769;10.429723
100852-0-0-14.wav;100852;7.0;11.0;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-14.wav;4.0;44100;1;0.8068695;17948;10.434884
100852-0-0-15.wav;100852;7.5;11.5;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-15.wav;4.0;44100;1;0.83239746;17640;10.396048
100852-0-0-16.wav;100852;8.0;12.0;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-16.wav;4.0;44100;1;0.7987671;17572;10.392229
100852-0-0-17.wav;100852;8.5;12.5;1;5;0;air_conditioner;../../data/raw/UrbanSound8K//audio/fold5/100852-0-0-17.wav;4.0;44100;1;0.8704529;17400;10.37548
