slice_file_name;fsID;start;end;salience;fold;classID;class;path;duracion;tasa_muestreo;desplazamiento_dc;cantidad_canales;rango_dinamico;energia;tasa_cruce_cero;entropia_espectograma;avg_centroide_espectral
100032-3-0-0.wav;100032;0.0;0.317551;1;5;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold5/100032-3-0-0.wav;0.31755102040816324;44100;5.2856603e-06;2;1.9669495;757.0395;1947;6.7166595;2503.702337476539
100263-2-0-117.wav;100263;58.5;62.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-117.wav;4.0;44100;6.680054e-05;2;0.07778931;9.032963;27607;9.991457;2339.22180442724
100263-2-0-121.wav;100263;60.5;64.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-121.wav;4.0;44100;9.670932e-05;2;0.04586792;4.803137;20971;9.728703;2070.8268628416213
100263-2-0-126.wav;100263;63.0;67.0;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-126.wav;4.0;44100;7.408246e-05;2;0.11376953;18.263489;26200;9.046845;2879.6382000777744
100263-2-0-137.wav;100263;68.5;72.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-137.wav;4.0;44100;8.4713785e-05;2;0.044830322;5.6217427;25189;10.048405;2197.598874472893
100263-2-0-143.wav;100263;71.5;75.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-143.wav;4.0;44100;9.876718e-05;2;0.046203613;7.8344364;16808;9.056795;2086.403158958129
100263-2-0-161.wav;100263;80.5;84.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-161.wav;4.0;44100;5.8920552e-05;2;0.03161621;3.6527364;17056;9.527229;2096.322962442637
100263-2-0-3.wav;100263;1.5;5.5;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-3.wav;4.0;44100;8.517605e-05;2;0.036895752;4.451435;16826;9.430789;2151.7523328383845
100263-2-0-36.wav;100263;18.0;22.0;1;5;2;children_playing;../../data/raw/UrbanSound8K//audio/fold5/100263-2-0-36.wav;4.0;44100;8.227523e-05;2;0.039093018;5.278583;16922;9.358807;1964.4205253633475
100648-1-0-0.wav;100648;4.823402;5.471927;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-0-0.wav;0.6485260770975056;44100;1.0190311e-05;2;0.36346436;106.56235;3700;7.9131165;2617.980433230019
100648-1-1-0.wav;100648;8.998279;10.052132;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-1-0.wav;1.05;44100;2.2177228e-06;2;0.301239;98.73635;6798;8.758327;2743.6986970179105
100648-1-2-0.wav;100648;16.699509;17.104837;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-2-0.wav;0.40532879818594103;44100;2.5102096e-05;2;0.39993286;68.93007;3668;6.3610854;3069.9599834799496
100648-1-3-0.wav;100648;17.631764;19.253075;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-3-0.wav;1.62;44100;1.499779e-06;2;0.2996521;114.82042;12044;9.430284;2705.008711710505
100648-1-4-0.wav;100648;25.332994;27.197502;2;10;1;car_horn;../../data/raw/UrbanSound8K//audio/fold10/100648-1-4-0.wav;1.86;44100;0.00018103614;2;1.9999695;16687.484;17624;5.692113;3732.8912998754863
100652-3-0-0.wav;100652;0.0;4.0;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-0.wav;4.0;44100;9.956723e-05;2;1.8629456;2796.692;27123;8.468178;2397.006229706986
100652-3-0-1.wav;100652;0.5;4.5;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-1.wav;4.0;44100;6.121257e-05;2;1.8629456;2951.2224;28342;8.243659;2332.261527035693
100652-3-0-2.wav;100652;1.0;5.0;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-2.wav;4.0;44100;6.773847e-05;2;1.7037048;2494.8362;28560;8.06918;2355.3078373245617
100652-3-0-3.wav;100652;1.5;5.5;1;2;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold2/100652-3-0-3.wav;4.0;44100;4.9216254e-05;2;1.701294;3554.7432;27660;7.9210377;2264.3753032751833
100795-3-0-0.wav;100795;0.19179;4.19179;1;10;3;dog_bark;../../data/raw/UrbanSound8K//audio/fold10/100795-3-0-0.wav;4.0;44100;1.0176592e-05;2;1.7079163;5342.932;26784;7.144801;2552.467723788403
